id,name,is_bot,roles
1109074304005582888,lttm,False,"(957854915194126339, 957854915194126336)"
696543388375449600,HuyVo,False,"(957854915227697163, 957854915194126336)"
1111323678261641216,Ngân,False,"(957854915194126339, 957854915194126336)"
1185161514596966541,Nam,False,"(957854915194126339, 957854915194126336)"
721361840059318372,beo,False,"(957854915194126339, 957854915194126336)"
1192740838262976553,Duy Tran,False,"(957854915194126339, 957854915194126336)"
426078985936437268,Trần Nhật Minh,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
966705147625484298,DinhBich,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
1044235492104872046,,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
842793582900805653,broall,False,"(957854915227697163, 957854915210915870, 957854915194126336)"
1192677172016578562,Đoàn Minh,False,"(957854915194126339, 957854915194126336)"
1129604950847135744,To Minh Duc - DS,False,"(957854915194126339, 957854915194126336)"
505898065019011072,do2601.bnb,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
990467088168652822,Tien Pham,False,"(957854915194126339, 957854915194126336)"
1179370265881358339,Huong Nguyen,False,"(957854915194126339, 957854915194126336)"
1124561460157239376,Phạm Ngọc Dung,False,"(957854915194126339, 957854915194126336)"
772255083684954133,OliverTran,False,"(957854915194126339, 957854915194126336)"
1008270386066100255,BaoKim DS,False,"(957854915194126339, 957854915194126336)"
698957741842235492,thuyduonghihi,False,"(957854915227697162, 957854915194126336)"
1212012050314825738,Minh Phương,False,"(957854915194126339, 957854915194126336)"
1017940450079936522,Viet Nga_,False,"(957854915210915872, 957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
912266055190208543,,False,"(957854915194126339, 957854915194126336)"
764769371553529859,TuDien_DS,False,"(957854915194126339, 957854915194126336)"
1143492934281478185,Vân vân,False,"(957854915194126339, 957854915194126336)"
410579582677417984,willnguyen,False,"(957854915194126339, 957854915194126336)"
993412512563347456,Jazmin,False,"(973873459945959424, 957854915194126338, 957854915210915875, 957854915210915874, 973873460411506719, 957854915194126336)"
886823799180386404,Valerie Hoang,False,"(957854915194126339, 957854915194126336)"
1039562693197180989,nhatphuc7692,False,"(957854915194126339, 957854915194126336)"
1218869746464854086,PhungHL,False,"(957854915194126339, 957854915194126336)"
1186165592034656326,Kim Ngan Pham,False,"(957854915227697162, 957854915194126339, 957854915194126336)"
1185194130960289813,Huyền Nhi,False,"(957854915194126339, 957854915194126336)"
598945147170062356,Nguyễn Minh Anh,False,"(957854915210915872, 957854915210915873, 957854915194126338, 973873459945959424, 957854915227697162, 957854915227697163, 957854915210915871, 957854915210915870, 973873460411506719, 957854915194126336)"
1013655996134072360,Duy Dang,False,"(957854915210915872, 957854915210915873, 957854915227697162, 957854915227697163, 957854915210915870, 957854915210915871, 957854915194126336)"
945153245494542346,Jazmin Phan,False,"(957854915210915875, 957854915227697163, 973873460411506719, 957854915194126336)"
1204429789910274118,Khang Trần,False,"(957854915194126339, 957854915194126336)"
1214201348325773344,QuyPham,False,"(957854915194126339, 957854915194126336)"
889190766818234410,ducle,False,"(957854915194126339, 957854915194126336)"
642337557002190869,thawnglong,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
366196413031514113,Trang Nguyen,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
1170220091930050682,Chaunguyen,False,"(957854915194126339, 957854915194126336)"
1169908209516040255,JasmineQ,False,"(957854915194126339, 957854915194126336)"
542622084870963230,coderschool-sang,False,"(957854915194126337, 957854915227697162, 957854915210915870, 957854915194126336)"
758364235997904936,TOny,False,"(957854915194126339, 957854915194126336)"
591543143426555906,hodakho,False,"(957854915194126339, 957854915194126336)"
1124971274280648704,Tuấn,False,"(957854915194126339, 957854915194126336)"
1200708690219630622,Tran Thuy Trang,False,"(957854915194126339, 957854915194126336)"
1171029884349456474,NGA NGA,False,"(957854915194126339, 957854915194126336)"
329457488883875851,lehungluan,False,"(957854915227697162, 957854915194126336)"
650912700423077898,Tâm,False,"(957854915194126339, 957854915194126336)"
461893916443279360,Tien Le,False,"(957854915227697162, 957854915210915870, 957854915194126336)"
628850956917932055,Dat Nguyen,False,"(957854915194126339, 957854915194126336)"
1077168565255417968,Phuc Vo - DS,False,"(957854915227697162, 957854915194126336)"
332201958255493120,TanTran,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
472612113173446657,johny,False,"(957854915194126339, 957854915194126336)"
1140555165531914340,ThaoNguyen_1987,False,"(957854915194126339, 957854915194126336)"
1019433397422137354,newbie00,False,"(957854915194126339, 957854915194126336)"
512315854415855616,Dzung,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
856898337362280468,Lushie.D,False,"(957854915194126339, 957854915194126336)"
1019788790811865189,DucTran,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
756792062682333275,phu_El8305,False,"(957854915194126339, 957854915194126336)"
915461069747654686,duhanhi,False,"(1097364307550949521, 957854915194126339, 957854915194126336)"
965952365201088562,Pham Phuong,False,"(957854915194126339, 957854915194126336)"
1180146319046750218,Nguyen Bien,False,"(957854915194126339, 957854915194126336)"
356374791151681536,Maverlous,False,"(957854915194126339, 957854915194126336)"
831158531952214046,thuydo,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
840144266923343874,Nhân Kevin_DS,False,"(957854915210915872, 957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
1158749949916348449,Huỳnh MInh Hoàng,False,"(957854915194126339, 957854915194126336)"
1038360882729713744,Blue.ha,False,"(957854915210915872, 957854915210915873, 957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
1085499410303172700,Duyen Tran,False,"(957854915227697162, 957854915194126336)"
501291979800313857,ChiNg,False,"(957854915194126339, 957854915194126336)"
1115205520706510919,Khai Nguyen CoderSchool,False,"(1126099899696562296, 957854915194126339, 957854915194126336)"
752786964847132713,Quân DS,False,"(957854915194126339, 957854915194126336)"
915172055899578368,,False,"(957854915194126339, 957854915194126336)"
1119672025791864913,linhtran,False,"(957854915194126339, 957854915194126336)"
916182464572031026,milubear,False,"(957854915194126339, 957854915194126336)"
1016341298816483460,quangtrung,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
600223173404917779,Hằng Nguyễn,False,"(957854915227697163, 957854915194126336)"
886824263028449321,Jenny Peace,False,"(957854915227697163, 957854915210915870, 957854915194126336)"
429294981115805706,Duy Anh,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
1109739512550150254,TrungPham,False,"(957854915194126339, 957854915194126336)"
1180043212161822720,Hient,False,"(957854915194126339, 957854915194126336)"
983422516083179530,Ha Tran,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
1058422921539891311,Trayden Nguyen,False,"(957854915194126339, 957854915194126336)"
784672549869977600,,False,"(957854915194126339, 957854915194126336)"
1082136237365788873,Thạnh Hưng,False,"(957854915210915872, 973873459945959424, 957854915227697162, 957854915210915871, 957854915210915870, 973873460411506719, 957854915194126336)"
1077439446296838144,Van Nguyen,False,"(973873459945959424, 957854915227697162, 957854915194126339, 1194665960376901773, 957854915194126336)"
763029502405902376,Huy Võ,False,"(957854915194126339, 957854915194126336)"
508391840525975553,,True,"(973873197478989847, 957854915194126336)"
591902522432815104,Kieu Loan - DS,False,"(957854915194126339, 957854915194126336)"
978270030225629194,MTBuffalo,False,"(957854915194126339, 957854915194126336)"
1180159429765775520,Ly Nguyen,False,"(957854915194126339, 957854915194126336)"
1170199483980726314,Pham Viet,False,"(957854915194126339, 957854915194126336)"
416565171289587714,huy,False,"(957854915194126339, 957854915194126336)"
597834703629975560,Anh Nguyen,False,"(957854915194126339, 957854915194126336)"
861226995747913728,Khoa Nguyen_DS,False,"(957854915194126339, 957854915194126336)"
881098344909406219,trxhuynh,False,"(957854915194126339, 957854915194126336)"
1011897884062527499,Diem Luu,False,"(957854915227697162, 957854915194126336)"
1148165939733463132,JulieNg,False,"(957854915194126339, 957854915194126336)"
1015976608319942716,Nam Lưu,False,"(957854915227697163, 957854915194126336)"
1091992093410476073,,False,"(957854915194126339, 1092437472253857852, 957854915194126336)"
1190300779081388092,Aki Nguyễn,False,"(957854915194126339, 957854915194126336)"
972363481208717312,Quỳnh (Quinn),False,"(957854915227697162, 957854915194126336)"
966204002956111892,Kiên Trường,False,"(957854915194126339, 957854915194126336)"
866310460986097684,Huong Ngo,False,"(957854915194126339, 957854915194126336)"
1169871605099401256,Duat,False,"(957854915194126339, 957854915194126336)"
1225397980522221631,Sáng,False,"(957854915194126339, 957854915194126336)"
1154951294893690950,Quang Dao,False,"(957854915194126339, 957854915194126336)"
687165137550835734,Văn,False,"(957854915194126339, 957854915194126336)"
1219116130698793091,Anthony,False,"(957854915194126339, 957854915194126336)"
1131150224920952853,quangnhat6799,False,"(1126099899696562296, 957854915194126339, 957854915194126336)"
775334272294453279,Tuan Pham - DS,False,"(957854915194126339, 957854915194126336)"
1054065156520411306,MinhAnhNg,False,"(957854915194126339, 957854915194126336)"
1035965386044223628,Thành,False,"(957854915194126339, 957854915194126336)"
588289539345350663,baohuong,False,"(957854915194126339, 957854915194126336)"
1194247343596372110,Learner Success,False,"(957854915227697162, 957854915194126339, 957854915194126336)"
693011874517876797,Bội Hân - DS,False,"(957854915194126339, 957854915194126336)"
1114559335822008331,van.cao1210,False,"(957854915194126339, 957854915194126336)"
959821131148324935,ThienLoc,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
1223163671832952912,Hao Pham,False,"(957854915194126339, 1194665960376901773, 957854915194126336)"
1107836627109281842,Giang Đỗ Trường,False,"(957854915227697163, 957854915194126336)"
586283868990996481,Huu Phuc,False,"(957854915194126339, 957854915210915870, 957854915194126336)"
813695131252949003,huytung,False,"(1018872874217508924, 957854915194126336)"
1128726319828574378,Thang Ly (Colin),False,"(957854915227697163, 957854915194126336)"
831798178956574740,ThanhPhong,False,"(957854915194126339, 957854915194126336)"
988370816876036096,thanhthao14,False,"(957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
1170555887572762655,Hoang,False,"(957854915194126339, 957854915194126336)"
1179651966826197084,Đăng Khoa,False,"(957854915194126339, 957854915194126336)"
694806631392870420,Annie,False,"(957854915210915872, 957854915194126339, 957854915210915870, 957854915210915871, 957854915194126336)"
491226500217962507,lukehoang,False,"(957854915210915877, 957854915210915870, 957854915210915871, 957854915194126336)"
1171072961080459384,Linny Nguyen,False,"(957854915194126339, 957854915194126336)"
